week,num_nodes,num_edges,density,assortativity
19_02,3319,4379,0.000398,0.145359
19_03,2995,3656,0.000408,0.264335
19_04,3283,4184,0.000388,0.212325
19_05,3323,4323,0.000392,0.338946
19_06,3366,4451,0.000393,0.18254
19_07,3372,4422,0.000389,0.107503
19_08,3025,3907,0.000427,0.170499
19_09,3156,3997,0.000401,0.151002
19_10,2664,3310,0.000467,0.199732
19_11,3343,4442,0.000398,0.172556
19_12,3088,4104,0.000431,0.090234
19_13,2864,3658,0.000446,0.097382
19_14,2293,2903,0.000552,0.143039
19_15,2772,3621,0.000471,0.10674
19_16,1932,2301,0.000617,0.116565
19_17,2267,2789,0.000543,0.178175
19_18,1622,2051,0.00078,0.199817
19_19,2550,3209,0.000494,0.15633
19_20,3838,5367,0.000364,0.208619
19_21,2352,2992,0.000541,0.140807
19_22,2239,2828,0.000564,0.143543
19_23,2827,3838,0.00048,0.18595
19_24,2228,2783,0.000561,0.145499
19_25,2815,3554,0.000449,0.125635
19_26,3624,5027,0.000383,0.131906
19_27,2558,3270,0.0005,0.072647
19_28,2545,3211,0.000496,0.111451
19_29,3549,4659,0.00037,0.061184
19_30,2660,3326,0.00047,0.119117
19_31,3871,5421,0.000362,0.156733
19_32,4261,6291,0.000347,0.119664
19_33,2959,3803,0.000434,0.175681
19_34,3164,4206,0.00042,0.112407
19_35,2220,2754,0.000559,0.222097
19_36,2218,2820,0.000573,0.236919
19_37,3000,3891,0.000432,0.130673
19_38,2332,2923,0.000538,0.191574
19_39,2147,2636,0.000572,0.119268
19_40,2119,2554,0.000569,0.163721
19_41,1520,1799,0.000779,0.234502
19_42,2134,2715,0.000596,0.141494
19_43,2409,3023,0.000521,0.249979
19_44,1738,2142,0.00071,-0.043841
19_45,2005,2462,0.000613,0.220286
19_46,2246,2843,0.000564,0.084713
19_47,1487,1789,0.00081,0.083143
19_48,1488,1783,0.000806,0.146055
19_49,1751,2207,0.00072,0.082957
19_50,1754,2186,0.000711,0.112521
19_51,1969,2451,0.000633,0.102386
19_52,1473,1846,0.000851,0.059725
