week,num_nodes,num_edges,density,assortativity
19_02,3319,4379,0.000398,0.153555
19_03,2995,3656,0.000408,0.258792
19_04,3283,4184,0.000388,0.22955
19_05,3323,4323,0.000392,0.252322
19_06,3366,4451,0.000393,0.18127
19_07,3372,4422,0.000389,0.157998
19_08,3025,3907,0.000427,0.159358
19_09,3156,3997,0.000401,0.143401
19_10,2664,3310,0.000467,0.253765
19_11,3343,4442,0.000398,0.189176
19_12,3088,4104,0.000431,0.133852
19_13,2864,3658,0.000446,0.100012
19_14,2293,2903,0.000552,0.203413
19_15,2772,3621,0.000471,0.137408
19_16,1932,2301,0.000617,0.172002
19_17,2267,2789,0.000543,0.211364
19_18,1622,2051,0.00078,0.225045
19_19,2550,3209,0.000494,0.217422
19_20,3838,5367,0.000364,0.198174
19_21,2352,2992,0.000541,0.157236
19_22,2239,2828,0.000564,0.158925
19_23,2827,3838,0.00048,0.162979
19_24,2228,2783,0.000561,0.189423
19_25,2815,3554,0.000449,0.165626
19_26,3624,5027,0.000383,0.165227
19_27,2558,3270,0.0005,0.102984
19_28,2545,3211,0.000496,0.178678
19_29,3549,4659,0.00037,0.108039
19_30,2660,3326,0.00047,0.105945
19_31,3871,5421,0.000362,0.198528
19_32,4261,6291,0.000347,0.195333
19_33,2959,3803,0.000434,0.234869
19_34,3164,4206,0.00042,0.147215
19_35,2220,2754,0.000559,0.211489
19_36,2218,2820,0.000573,0.238755
19_37,3000,3891,0.000432,0.177431
19_38,2332,2923,0.000538,0.259871
19_39,2147,2636,0.000572,0.136133
19_40,2119,2554,0.000569,0.188098
19_41,1520,1799,0.000779,0.271278
19_42,2134,2715,0.000596,0.173427
19_43,2409,3023,0.000521,0.26248
19_44,1738,2142,0.00071,-0.06761
19_45,2005,2462,0.000613,0.180538
19_46,2246,2843,0.000564,0.136347
19_47,1487,1789,0.00081,0.120421
19_48,1488,1783,0.000806,0.174876
19_49,1751,2207,0.00072,0.132678
19_50,1754,2186,0.000711,0.116863
19_51,1969,2451,0.000633,0.145925
19_52,1473,1846,0.000851,0.084283
