,week,abortion,climate,gender,guns,health,racial_justice,unauthorized_immigration,pca,spearman_r,spearman_p
0,19-02,30.2031307220459,34.56297302246094,28.665735244750977,26.849580764770508,27.47062492370605,28.53172492980957,30.2288875579834,24.12215805053711,-0.0214209100066889,0.04500558132366
1,19-03,31.99138069152832,36.990047454833984,30.770893096923828,28.74285125732422,30.18077278137207,31.511981964111328,32.227272033691406,26.13111114501953,0.0136038511256695,0.2447794304857921
2,19-04,29.58212661743164,34.54898452758789,27.018346786499023,25.778932571411133,26.792436599731445,29.21843910217285,28.949493408203125,22.46828269958496,-0.0089454087177829,0.4132479925024614
3,19-05,33.46236801147461,36.511497497558594,29.233009338378903,27.472387313842773,29.630239486694336,30.086204528808597,32.35160827636719,25.500263214111328,-0.0304530479261503,0.0046273826472237
4,19-06,33.224952697753906,40.33108901977539,30.987838745117188,30.491003036499023,30.503795623779297,32.72550582885742,33.47849655151367,27.939468383789062,0.0019330711229484,0.8552997338938824
5,19-07,29.4268856048584,33.341495513916016,27.722213745117188,25.145002365112305,27.23548698425293,28.356246948242188,28.60101890563965,22.562992095947266,0.0143580948993609,0.1769677134252385
6,19-08,32.66093063354492,34.303367614746094,28.344823837280277,28.305269241333008,28.75992584228516,28.675249099731445,32.124420166015625,25.736608505249023,0.0049729184545235,0.6602828875193044
7,19-09,29.10829162597656,33.58512878417969,27.723419189453125,24.891925811767575,26.56478881835937,28.392915725708008,28.078346252441406,21.92380142211914,0.0129303886365838,0.247696344270096
8,19-10,30.30985641479492,34.28572463989258,26.98772621154785,27.793067932128903,27.060590744018555,28.76881217956543,31.77800750732422,23.908462524414062,-0.0221517759392318,0.0715101404837974
9,19-11,32.43699264526367,39.046875,30.91739273071289,31.506420135498047,30.69280433654785,33.027008056640625,32.15922927856445,28.291412353515625,-0.0091708041933209,0.3874283562753943
10,19-12,28.791166305541992,35.191314697265625,30.893585205078125,29.15780067443848,28.789854049682617,29.546031951904297,29.58717536926269,24.101076126098636,0.0287216015965611,0.0092611464927191
11,19-13,30.15738677978516,32.64140701293945,28.03573226928711,25.61896514892578,27.931921005249023,28.401844024658203,28.08771324157715,23.289060592651367,0.0249139061977857,0.0330938239908847
12,19-14,26.904037475585938,28.76747703552246,25.521976470947266,22.76535415649414,24.85630226135254,26.369129180908203,25.5328369140625,20.464672088623047,0.0091265181786864,0.486880421946683
13,19-15,31.959428787231445,34.9151725769043,28.98927879333496,26.695432662963867,27.685400009155277,28.85649681091309,29.323091506958008,25.567964553833008,0.000236324357212,0.9839574436029672
14,19-16,26.74868392944336,30.06838035583496,26.20482444763184,22.55571746826172,25.536523818969727,24.88538360595703,26.9952335357666,21.91142463684082,0.0216594371866016,0.1418037708865563
15,19-17,24.96388435363769,30.504154205322266,23.73908233642578,22.14679336547852,24.57298851013184,24.422107696533203,24.96578025817871,20.370746612548828,0.0309930235989156,0.0206248372090391
16,19-18,26.72943115234375,29.790477752685547,23.958051681518555,20.291505813598636,22.098865509033203,22.663291931152344,22.598960876464844,19.509864807128903,0.0066982786444846,0.6680121840613031
17,19-19,27.322481155395508,29.673995971679688,25.551782608032227,22.99839401245117,24.55447769165039,25.663742065429688,25.283802032470703,20.053295135498047,0.0489850482772579,8.640490411568378e-05
18,19-20,30.963361740112305,35.59939956665039,27.49501609802246,27.102109909057617,27.37653923034668,28.59008407592773,29.45991325378418,23.70631599426269,0.0171760840155304,0.0751656013014221
19,19-21,29.29928207397461,31.63203239440918,26.46449851989746,24.836450576782227,25.54276466369629,27.32671546936035,29.086204528808597,24.06690216064453,0.0034604335303566,0.7889831535159595
20,19-22,26.04105758666992,28.9584903717041,23.123767852783203,20.741809844970703,21.77814102172852,23.809329986572266,24.21176528930664,19.03835678100586,0.0128358260900847,0.3344634557392987
21,19-23,31.694091796875,34.03671646118164,29.05586624145508,26.18080139160156,27.731046676635746,28.80802345275879,29.46623420715332,25.59913825988769,0.0441364383959551,0.0001096545684679
22,19-24,26.34436416625977,31.50459671020508,24.827659606933597,23.21958541870117,24.658775329589844,26.084211349487305,26.254642486572266,21.386648178100582,0.0091636204995701,0.4942792780138083
23,19-25,30.89055633544922,36.58146286010742,29.31574821472168,26.023691177368164,27.651100158691406,30.87672233581543,30.311580657958984,25.47364616394043,-0.0370036956725405,0.0018068974277274
24,19-26,28.95784950256348,30.416683197021484,25.04206085205078,23.107833862304688,25.518728256225582,26.39534950256348,26.25570678710937,20.6876163482666,0.0089709180894821,0.3684306137583516
25,19-27,27.975011825561523,31.31247329711914,25.227277755737305,23.395732879638672,24.245515823364254,27.05739021301269,25.55956268310547,20.76614189147949,0.0195525317693438,0.1138626420582839
26,19-28,30.484249114990234,34.64114761352539,26.282262802124023,25.72917938232422,29.492446899414062,28.647680282592773,33.20280838012695,26.28737068176269,-0.0075846345313144,0.5433843550560278
27,19-29,23.49499893188477,27.608287811279297,21.129148483276367,19.604022979736328,22.030141830444336,23.311935424804688,22.44753837585449,17.474464416503906,0.019226420627655,0.0634756756793356
28,19-30,23.71267890930176,27.435035705566406,22.85065269470215,20.34452247619629,21.860057830810547,24.14366149902344,23.35591506958008,18.433046340942383,-0.0025311712434685,0.8364758626063394
29,19-31,31.27183723449707,35.204551696777344,27.534156799316406,25.876876831054688,27.31478500366211,29.91401481628418,29.46803474426269,23.835845947265625,0.0170156269192367,0.0764485473445567
30,19-32,31.547119140625,36.454689025878906,29.824636459350582,28.463972091674805,28.94196510314941,31.801170349121094,31.617055892944336,25.18025779724121,0.0153711089854742,0.0846897237503168
31,19-33,26.04268455505371,32.22336959838867,23.435762405395508,24.036415100097656,24.451509475708008,26.91839408874512,26.258277893066406,20.7193603515625,0.0037380707952383,0.744459442591499
32,19-34,26.396997451782227,31.332847595214844,25.15296936035156,24.01130104064941,25.779756546020508,27.148725509643555,25.773277282714844,20.274768829345703,0.0379796812119901,0.0004937579540739
33,19-35,25.61335563659668,29.13716697692871,22.890655517578125,23.578134536743164,22.684823989868164,25.083961486816406,24.60267448425293,20.36173248291016,0.0077573874667156,0.5648859240768905
34,19-36,24.688106536865234,28.69044303894043,23.055269241333008,21.56032943725586,24.203893661499023,23.187009811401367,23.265026092529297,18.958702087402344,0.0241797649557523,0.0694069366371559
35,19-37,32.723846435546875,36.85516357421875,28.5986328125,29.60770034790039,31.84772109985352,31.44944190979004,30.868072509765625,27.092025756835938,0.0212457816788025,0.0609137801978513
36,19-38,25.211654663085938,28.95487403869629,21.97372817993164,22.354061126708984,22.55372810363769,23.801342010498047,23.674421310424805,18.48605728149414,0.0225087020625508,0.0852787789373358
37,19-39,27.337451934814453,31.909278869628903,24.53902053833008,25.80509376525879,24.993120193481445,25.89881706237793,26.37421226501465,21.800064086914062,0.0038371624986632,0.7805934707801702
38,19-40,29.85887718200684,30.712818145751957,25.29033851623535,25.808364868164062,26.58069229125977,27.989213943481445,28.64136505126953,23.58937644958496,-0.01385994443259,0.3219888321199211
39,19-41,20.157657623291016,24.27744483947754,19.7181339263916,19.94674491882324,19.353687286376957,21.021146774291992,19.90087127685547,15.748454093933104,-0.0208814171862434,0.2104830569170546
40,19-42,29.212072372436523,32.56136703491211,28.955522537231445,26.50982093811035,28.573280334472656,27.794410705566406,30.557167053222656,25.677175521850582,0.0161897146022245,0.2329477736889676
41,19-43,24.29633903503418,27.172666549682617,23.343807220458984,20.59368705749512,22.07414436340332,22.10969352722168,21.705883026123047,16.6980037689209,-0.0132419115928569,0.303258544299667
42,19-44,21.445703506469727,27.726016998291016,20.9875602722168,20.16307640075684,22.55467796325684,21.36943626403809,21.59145164489746,17.71046257019043,0.0297429446953571,0.0515820060885804
43,19-45,28.245758056640625,29.66826820373535,25.42418098449707,23.150196075439453,24.81254768371582,23.614910125732425,25.23789596557617,20.52516746520996,0.0067742684866786,0.6346134656001198
44,19-46,24.656665802001957,29.08572578430176,25.114614486694336,22.3335075378418,23.74689102172852,24.805797576904297,24.092138290405277,19.32779884338379,-0.0116556203977536,0.3795448074842556
45,19-47,25.302248001098636,33.53764724731445,22.943923950195312,25.959117889404297,27.392257690429688,25.08101463317871,26.97005271911621,24.55479621887207,0.0014513611719711,0.9308424975465708
46,19-48,24.485782623291016,28.97721290588379,21.41950225830078,20.63490295410156,22.39947891235352,23.528438568115234,24.88251495361328,19.53095054626465,0.0007577031507669,0.963923073060604
47,19-49,26.363636016845703,28.55160140991211,24.034046173095703,21.604785919189453,24.217195510864254,22.84262466430664,24.96592330932617,20.593711853027344,0.0302255311463612,0.0446420109476272
48,19-50,27.93678474426269,33.28466796875,23.546388626098636,22.299171447753903,26.750795364379883,25.830291748046875,25.70265769958496,23.75093460083008,0.0141034254974925,0.3511744139900959
49,19-51,28.504779815673828,33.80412292480469,26.752490997314453,21.792524337768555,27.818681716918945,25.17972183227539,26.41419219970703,24.363319396972656,0.0073458270128091,0.6071201420050703
50,19-52,20.51177215576172,23.543567657470703,18.914352416992188,17.86199188232422,18.758432388305664,18.771224975585938,19.943788528442383,15.947032928466797,-0.0126032114383614,0.4439350099526267
