,week,overall_balance,triangles
0,19_02,0.6666666865348816,102.0
1,19_03,0.45098039507865906,51.0
2,19_04,0.5221238732337952,113.0
3,19_05,0.4651162922382355,86.0
4,19_06,0.6666666865348816,84.0
5,19_07,0.6510066986083984,149.0
6,19_08,0.41999998688697815,100.0
7,19_09,0.6363636255264282,121.0
8,19_10,0.6666666865348816,78.0
9,19_11,0.48672565817832947,113.0
10,19_12,0.4406779706478119,118.0
11,19_13,0.6410256624221802,78.0
12,19_14,0.6000000238418579,115.0
13,19_15,0.643410861492157,129.0
14,19_16,0.698113203048706,53.0
15,19_17,0.5555555820465088,81.0
16,19_18,0.824999988079071,80.0
17,19_19,0.7209302186965942,86.0
18,19_20,0.7789473533630371,190.0
19,19_21,0.4838709533214569,93.0
20,19_22,0.4845360815525055,97.0
21,19_23,0.6992481350898743,133.0
22,19_24,0.7647058963775635,85.0
23,19_25,0.7701149582862854,87.0
24,19_26,0.6701030731201172,194.0
25,19_27,0.6703296899795532,91.0
26,19_28,0.47999998927116394,100.0
27,19_29,0.6000000238418579,110.0
28,19_30,0.75,64.0
29,19_31,0.7570093274116516,214.0
30,19_32,0.6796875,256.0
31,19_33,0.7200000286102295,100.0
32,19_34,0.5809524059295654,105.0
33,19_35,0.7333333492279053,45.0
34,19_36,0.8157894611358643,76.0
35,19_37,0.6043956279754639,182.0
36,19_38,0.7333333492279053,75.0
37,19_39,0.6610169410705566,59.0
38,19_40,0.3469387888908386,49.0
39,19_41,0.6470588445663452,34.0
40,19_42,0.7227723002433777,101.0
41,19_43,0.7866666913032532,75.0
42,19_44,0.795918345451355,49.0
43,19_45,0.7446808218955994,94.0
44,19_46,0.446153849363327,65.0
45,19_47,0.4399999976158142,25.0
46,19_48,0.6153846383094788,52.0
47,19_49,0.739130437374115,69.0
48,19_50,0.6235294342041016,85.0
49,19_51,0.824999988079071,80.0
50,19_52,0.7297297120094299,74.0
