,+++,+++%,+--,+--%,triangles
19_02,13,0.18055555555555555,41,0.5694444444444444,72
19_03,8,0.19047619047619047,20,0.47619047619047616,42
19_04,16,0.20512820512820512,38,0.48717948717948717,78
19_05,24,0.3287671232876712,26,0.3561643835616438,73
19_06,12,0.18181818181818182,39,0.5909090909090909,66
19_07,19,0.1557377049180328,79,0.6475409836065574,122
19_08,18,0.2608695652173913,25,0.36231884057971014,69
19_09,15,0.19480519480519481,39,0.5064935064935064,77
19_10,16,0.26666666666666666,30,0.5,60
19_11,23,0.27380952380952384,35,0.4166666666666667,84
19_12,14,0.1917808219178082,35,0.4794520547945205,73
19_13,20,0.3225806451612903,28,0.45161290322580644,62
19_14,15,0.17647058823529413,50,0.5882352941176471,85
19_15,19,0.2235294117647059,48,0.5647058823529412,85
19_16,9,0.2647058823529412,15,0.4411764705882353,34
19_17,14,0.22950819672131148,31,0.5081967213114754,61
19_18,8,0.1509433962264151,36,0.6792452830188679,53
19_19,6,0.08955223880597014,51,0.7611940298507462,67
19_20,30,0.24390243902439024,62,0.5040650406504065,123
19_21,12,0.16666666666666666,40,0.5555555555555556,72
19_22,18,0.26865671641791045,32,0.47761194029850745,67
19_23,23,0.24468085106382978,51,0.5425531914893617,94
19_24,9,0.15254237288135594,34,0.576271186440678,59
19_25,12,0.24489795918367346,32,0.6530612244897959,49
19_26,30,0.24,66,0.528,125
19_27,18,0.2903225806451613,32,0.5161290322580645,62
19_28,9,0.13636363636363635,36,0.5454545454545454,66
19_29,14,0.16470588235294117,52,0.611764705882353,85
19_30,14,0.28,24,0.48,50
19_31,36,0.3076923076923077,57,0.48717948717948717,117
19_32,33,0.2088607594936709,87,0.5506329113924051,158
19_33,10,0.18518518518518517,30,0.5555555555555556,54
19_34,10,0.15384615384615385,34,0.5230769230769231,65
19_35,8,0.2857142857142857,14,0.5,28
19_36,17,0.3695652173913043,24,0.5217391304347826,46
19_37,16,0.1553398058252427,64,0.6213592233009708,103
19_38,15,0.3,27,0.54,50
19_39,13,0.325,20,0.5,40
19_40,3,0.07894736842105263,24,0.631578947368421,38
19_41,2,0.08333333333333333,18,0.75,24
19_42,15,0.2459016393442623,33,0.5409836065573771,61
19_43,18,0.3673469387755102,23,0.46938775510204084,49
19_44,10,0.25,22,0.55,40
19_45,15,0.25862068965517243,32,0.5517241379310345,58
19_46,5,0.10416666666666667,27,0.5625,48
19_47,3,0.125,13,0.5416666666666666,24
19_48,14,0.3783783783783784,13,0.35135135135135137,37
19_49,6,0.13333333333333333,33,0.7333333333333333,45
19_50,12,0.23529411764705882,24,0.47058823529411764,51
19_51,12,0.2222222222222222,36,0.6666666666666666,54
19_52,6,0.14634146341463414,27,0.6585365853658537,41
