,+++,+++%,+--,+--%,triangles
19_02,16,0.2222222222222222,37,0.5138888888888888,72
19_03,5,0.11904761904761904,27,0.6428571428571429,42
19_04,14,0.1794871794871795,39,0.5,78
19_05,10,0.136986301369863,43,0.589041095890411,73
19_06,14,0.21212121212121213,40,0.6060606060606061,66
19_07,24,0.19672131147540983,71,0.5819672131147541,122
19_08,12,0.17391304347826086,36,0.5217391304347826,69
19_09,14,0.18181818181818182,44,0.5714285714285714,77
19_10,11,0.18333333333333332,36,0.6,60
19_11,14,0.16666666666666666,51,0.6071428571428571,84
19_12,12,0.1643835616438356,37,0.5068493150684932,73
19_13,9,0.14516129032258066,43,0.6935483870967742,62
19_14,18,0.21176470588235294,49,0.5764705882352941,85
19_15,19,0.2235294117647059,46,0.5411764705882353,85
19_16,3,0.08823529411764706,21,0.6176470588235294,34
19_17,7,0.11475409836065574,37,0.6065573770491803,61
19_18,9,0.16981132075471697,35,0.660377358490566,53
19_19,5,0.07462686567164178,49,0.7313432835820896,67
19_20,20,0.16260162601626016,77,0.6260162601626016,123
19_21,13,0.18055555555555555,34,0.4722222222222222,72
19_22,14,0.208955223880597,36,0.5373134328358209,67
19_23,17,0.18085106382978725,62,0.6595744680851063,94
19_24,10,0.1694915254237288,35,0.5932203389830508,59
19_25,10,0.20408163265306123,31,0.6326530612244898,49
19_26,21,0.168,77,0.616,125
19_27,10,0.16129032258064516,40,0.6451612903225806,62
19_28,13,0.19696969696969696,31,0.4696969696969697,66
19_29,13,0.15294117647058825,48,0.5647058823529412,85
19_30,7,0.14,33,0.66,50
19_31,21,0.1794871794871795,75,0.6410256410256411,117
19_32,32,0.20253164556962025,90,0.569620253164557,158
19_33,11,0.2037037037037037,29,0.5370370370370371,54
19_34,8,0.12307692307692308,34,0.5230769230769231,65
19_35,1,0.03571428571428571,21,0.75,28
19_36,13,0.2826086956521739,26,0.5652173913043478,46
19_37,21,0.20388349514563106,58,0.5631067961165048,103
19_38,7,0.14,38,0.76,50
19_39,10,0.25,24,0.6,40
19_40,7,0.18421052631578946,21,0.5526315789473685,38
19_41,6,0.25,13,0.5416666666666666,24
19_42,13,0.21311475409836064,40,0.6557377049180327,61
19_43,10,0.20408163265306123,33,0.673469387755102,49
19_44,6,0.15,27,0.675,40
19_45,15,0.25862068965517243,33,0.5689655172413793,58
19_46,13,0.2708333333333333,18,0.375,48
19_47,5,0.20833333333333334,9,0.375,24
19_48,5,0.13513513513513514,24,0.6486486486486487,37
19_49,4,0.08888888888888889,35,0.7777777777777778,45
19_50,4,0.0784313725490196,33,0.6470588235294118,51
19_51,4,0.07407407407407407,45,0.8333333333333334,54
19_52,7,0.17073170731707318,26,0.6341463414634146,41
